,Jimmy TF-OS,Jimmy TF-R,Jimmy TF-FT,Jimmy No Label
Erica TF-OS,53,2,39,43
Erica TF-R,0,29,14,5
Erica TF-FT,6,0,84,16
Erica No Label,0,0,0,0
