TF,SR,TR,No Label,TimeStamp,TF,SR,TR,No Label,TimeStamp
1,0,0,0,"[3132, 3146]",1,0,0,0,"[3132, 3144]"
1,0,0,0,"[3261, 3272]",1,0,0,0,"[3261, 3271]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
0,0,1,0,"[3993, 4022]",0,0,1,0,"[3995, 4021]"
1,0,0,0,"[4140, 4161]",1,0,0,0,"[4150, 4159]"
1,0,0,0,"[4199, 4260]",1,0,0,0,"[4209, 4259]"
1,0,0,0,"[4340, 4364]",1,0,0,0,"[4344, 4363]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4433, 4437]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4449, 4470]"
1,0,0,0,"[4526, 4577]",1,0,0,0,"[4531, 4575]"
0,0,0,1,-1,1,0,0,0,"[982, 992]"
0,0,0,1,-1,1,0,0,0,"[1878, 1885]"
0,0,0,1,-1,1,0,0,0,"[3237, 3253]"
0,0,0,1,-1,1,0,0,0,"[3456, 3477]"
1,0,0,0,"[1041, 1059]",1,0,0,0,"[1045, 1055]"
0,1,0,0,"[1084, 1111]",0,1,0,0,"[1094, 1110]"
1,0,0,0,"[1177, 1187]",1,0,0,0,"[1180, 1184]"
1,0,0,0,"[1385, 1391]",1,0,0,0,"[1385, 1401]"
1,0,0,0,"[1469, 1489]",1,0,0,0,"[1487, 1514]"
1,0,0,0,"[1492, 1517]",1,0,0,0,"[1487, 1514]"
1,0,0,0,"[1756, 1767]",1,0,0,0,"[1762, 1767]"
1,0,0,0,"[1891, 1906]",1,0,0,0,"[1894, 1907]"
1,0,0,0,"[1922, 1936]",1,0,0,0,"[1915, 1938]"
1,0,0,0,"[2428, 2457]",1,0,0,0,"[2437, 2445]"
1,0,0,0,"[2489, 2500]",1,0,0,0,"[2492, 2498]"
1,0,0,0,"[2599, 2633]",1,0,0,0,"[2598, 2635]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2818, 2831]",1,0,0,0,"[2817, 2830]"
1,0,0,0,"[2873, 2888]",1,0,0,0,"[2873, 2892]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
1,0,0,0,"[3975, 3989]",1,0,0,0,"[3982, 3998]"
1,0,0,0,"[4122, 4131]",1,0,0,0,"[4124, 4130]"
1,0,0,0,"[4199, 4260]",1,0,0,0,"[4209, 4259]"
1,0,0,0,"[4340, 4364]",1,0,0,0,"[4344, 4363]"
1,0,0,0,"[4392, 4410]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4526, 4577]",1,0,0,0,"[4531, 4575]"
0,1,0,0,"[4585, 4606]",0,0,1,0,"[4576, 4609]"
0,1,0,0,"[2669, 2715]",0,0,0,1,-1
0,0,0,1,-1,1,0,0,0,"[2778, 2791]"
0,0,0,1,-1,1,0,0,0,"[3237, 3253]"
0,0,0,1,-1,1,0,0,0,"[3456, 3477]"
0,0,0,1,-1,1,0,0,0,"[3953, 3962]"
0,0,0,1,-1,0,0,1,0,"[4289, 4341]"
0,0,0,1,-1,0,0,1,0,"[4501, 4511]"
1,0,0,0,"[1041, 1059]",1,0,0,0,"[1045, 1055]"
1,0,0,0,"[1385, 1391]",1,0,0,0,"[1385, 1401]"
0,1,0,0,"[1437, 1465]",0,1,0,0,"[1435, 1457]"
1,0,0,0,"[1492, 1517]",1,0,0,0,"[1487, 1514]"
1,0,0,0,"[1605, 1616]",1,0,0,0,"[1611, 1614]"
1,0,0,0,"[1815, 1846]",1,0,0,0,"[1831, 1836]"
1,0,0,0,"[1922, 1936]",1,0,0,0,"[1915, 1938]"
1,0,0,0,"[2096, 2111]",1,0,0,0,"[2098, 2110]"
1,0,0,0,"[2187, 2207]",1,0,0,0,"[2195, 2205]"
1,0,0,0,"[2265, 2283]",1,0,0,0,"[2275, 2280]"
1,0,0,0,"[2428, 2457]",1,0,0,0,"[2437, 2445]"
1,0,0,0,"[2599, 2633]",1,0,0,0,"[2598, 2635]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2818, 2831]",1,0,0,0,"[2817, 2830]"
0,1,0,0,"[2912, 2939]",0,1,0,0,"[2912, 2939]"
1,0,0,0,"[3132, 3146]",1,0,0,0,"[3132, 3144]"
1,0,0,0,"[3261, 3272]",1,0,0,0,"[3261, 3271]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
0,1,0,0,"[4047, 4080]",0,1,0,0,"[4049, 4092]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4163, 4170]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4172, 4177]"
1,0,0,0,"[4340, 4364]",1,0,0,0,"[4344, 4363]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4449, 4470]"
