Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[68845, 68865]",0,0,0,1,0,0,0,0,"[68845, 68866]"
0,0,0,0,0,1,0,0,"[68865, 68924]",0,0,0,1,0,0,0,0,"[68845, 68866]"
0,0,0,0,0,1,0,0,"[68865, 68924]",0,0,0,1,0,0,0,0,"[68923, 68949]"
0,0,0,0,0,1,0,0,"[68865, 68924]",0,0,0,0,0,1,0,0,"[68865, 68923]"
0,0,0,1,0,0,0,0,"[68924, 68949]",0,0,0,1,0,0,0,0,"[68923, 68949]"
0,0,0,0,0,1,0,0,"[68949, 68953]",0,0,0,0,0,1,0,0,"[68949, 68997]"
0,0,0,0,0,1,0,0,"[68954, 68999]",0,0,0,0,0,1,0,0,"[68949, 68997]"
0,0,0,1,0,0,0,0,"[69067, 69073]",0,0,0,1,0,0,0,0,"[69066, 69073]"
0,0,0,1,0,0,0,0,"[69067, 69073]",0,0,0,0,0,1,0,0,"[69072, 69108]"
0,0,0,0,0,1,0,0,"[69073, 69088]",0,0,0,0,0,1,0,0,"[69072, 69108]"
0,0,0,0,0,1,0,0,"[69095, 69108]",0,0,0,0,0,1,0,0,"[69072, 69108]"
0,0,0,1,0,0,0,0,"[69108, 69124]",0,1,0,0,0,0,0,0,"[69123, 69141]"
0,0,0,1,0,0,0,0,"[69108, 69124]",0,0,0,1,0,0,0,0,"[69108, 69124]"
0,1,0,0,0,0,0,0,"[69124, 69140]",0,1,0,0,0,0,0,0,"[69123, 69141]"
0,1,0,0,0,0,0,0,"[69149, 69156]",0,1,0,0,0,0,0,0,"[69148, 69156]"
0,1,0,0,0,0,0,0,"[69149, 69156]",0,0,0,0,0,1,0,0,"[69155, 69182]"
0,0,0,0,0,1,0,0,"[69157, 69182]",0,0,0,0,0,1,0,0,"[69155, 69182]"
0,1,0,0,0,0,0,0,"[69185, 69196]",0,1,0,0,0,0,0,0,"[69185, 69198]"
0,0,0,0,0,1,0,0,"[69200, 69218]",0,0,0,0,0,1,0,0,"[69198, 69218]"
0,0,0,1,0,0,0,0,"[69293, 69300]",0,0,0,1,0,0,0,0,"[69293, 69300]"
0,0,0,0,0,1,0,0,"[69300, 69324]",0,0,0,0,0,1,0,0,"[69300, 69336]"
0,0,0,0,0,1,0,0,"[69334, 69336]",0,0,0,0,0,1,0,0,"[69300, 69336]"
0,0,0,1,0,0,0,0,"[69336, 69366]",0,1,0,0,0,0,0,0,"[69365, 69375]"
0,0,0,1,0,0,0,0,"[69336, 69366]",0,0,0,1,0,0,0,0,"[69336, 69366]"
0,1,0,0,0,0,0,0,"[69366, 69374]",0,1,0,0,0,0,0,0,"[69365, 69375]"
0,0,0,1,0,0,0,0,"[69374, 69395]",0,1,0,0,0,0,0,0,"[69365, 69375]"
0,0,0,1,0,0,0,0,"[69374, 69395]",0,0,0,1,0,0,0,0,"[69375, 69395]"
0,1,0,0,0,0,0,0,"[69395, 69410]",0,1,0,0,0,0,0,0,"[69395, 69409]"
0,1,0,0,0,0,0,0,"[69395, 69410]",0,0,0,1,0,0,0,0,"[69408, 69420]"
