Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[15371, 15487]",0,0,0,1,0,0,0,0,"[15383, 15490]"
0,0,0,0,1,0,0,0,"[15488, 15521]",0,0,0,1,0,0,0,0,"[15383, 15490]"
0,0,0,1,0,0,0,0,"[15765, 15824]",0,0,0,1,0,0,0,0,"[15770, 15826]"
0,0,0,0,1,0,0,0,"[15824, 15833]",0,0,0,1,0,0,0,0,"[15770, 15826]"
0,0,0,0,1,0,0,0,"[15860, 15882]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[16146, 16234]",0,0,1,0,0,0,0,0,"[16231, 16245]"
0,0,0,1,0,0,0,0,"[16146, 16234]",0,0,0,1,0,0,0,0,"[16135, 16234]"
1,0,0,0,0,0,0,0,"[16234, 16243]",0,0,1,0,0,0,0,0,"[16231, 16245]"
0,0,0,1,0,0,0,0,"[16534, 16551]",0,0,0,1,0,0,0,0,"[16530, 16551]"
0,0,0,0,0,1,0,0,"[16551, 16556]",0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,"[16647, 16653]",0,0,1,0,0,0,0,0,"[16646, 16654]"
0,0,0,1,0,0,0,0,"[16836, 16891]",0,0,0,1,0,0,0,0,"[16844, 16891]"
0,0,1,0,0,0,0,0,"[16891, 16900]",0,0,1,0,0,0,0,0,"[16891, 16899]"
0,0,1,0,0,0,0,0,"[16979, 16989]",0,0,1,0,0,0,0,0,"[16981, 16989]"
0,0,1,0,0,0,0,0,"[16979, 16989]",0,0,0,0,0,0,1,0,"[16977, 16992]"
0,0,0,1,0,0,0,0,"[17147, 17225]",0,0,0,1,0,0,0,0,"[17152, 17230]"
0,0,0,0,0,0,1,0,"[17225, 17236]",0,0,1,0,0,0,0,0,"[17227, 17233]"
0,0,0,0,0,0,1,0,"[17225, 17236]",0,0,0,1,0,0,0,0,"[17152, 17230]"
0,0,0,0,0,0,1,0,"[17225, 17236]",0,0,0,1,0,0,0,0,"[17231, 17297]"
1,0,0,0,0,0,0,0,"[17293, 17297]",1,0,0,0,0,0,0,0,"[17293, 17299]"
1,0,0,0,0,0,0,0,"[17293, 17297]",0,0,0,1,0,0,0,0,"[17231, 17297]"
0,0,0,1,0,0,0,0,"[15371, 15406]",0,0,0,1,0,0,0,0,"[15375, 15407]"
0,0,0,0,0,1,0,0,"[15406, 15489]",0,0,0,1,0,0,0,0,"[15375, 15407]"
0,0,0,0,0,1,0,0,"[15406, 15489]",0,0,0,1,0,0,0,0,"[15487, 15508]"
0,0,0,0,0,1,0,0,"[15406, 15489]",0,0,0,0,0,1,0,0,"[15406, 15489]"
0,0,0,1,0,0,0,0,"[15489, 15509]",0,0,0,1,0,0,0,0,"[15487, 15508]"
0,0,0,1,0,0,0,0,"[15489, 15509]",0,0,0,0,0,1,0,0,"[15505, 15525]"
0,0,0,0,0,1,0,0,"[15509, 15522]",0,0,0,0,0,1,0,0,"[15505, 15525]"
0,0,0,1,0,0,0,0,"[15765, 15776]",0,0,0,1,0,0,0,0,"[15765, 15776]"
0,0,0,0,0,1,0,0,"[15776, 15838]",0,0,0,0,0,1,0,0,"[15776, 15837]"
0,1,0,0,0,0,0,0,"[15839, 15856]",0,1,0,0,0,0,0,0,"[15842, 15856]"
0,0,0,0,0,1,0,0,"[15862, 15865]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[15878, 15885]",0,0,0,0,1,0,0,0,"[15879, 15885]"
