,Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label
Erica Explosive Quick Mine,10,0,0,0,0,0,0,0
Erica Explosive Inner,3,14,0,1,1,3,0,0
Erica Explosive Tunneling,0,0,1,0,0,0,0,0
Erica Exploring,0,0,0,31,0,0,0,2
Erica Tunneling Pickaxe,0,0,0,0,9,0,0,2
Erica Pickaxing for Gold,0,0,0,0,0,44,0,0
Erica Explosive Miss,0,0,0,0,0,0,0,0
Erica No label,1,0,0,5,6,9,0,0
