Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[11579, 11618]",0,0,0,1,0,0,0,0,"[11579, 11618]"
0,0,0,0,1,0,0,0,"[11618, 11672]",0,0,0,0,1,0,0,0,"[11618, 11674]"
0,0,0,0,1,0,0,0,"[11680, 11684]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[11688, 11692]",0,0,0,0,1,0,0,0,"[11689, 11713]"
0,0,0,0,1,0,0,0,"[11699, 11702]",0,0,0,0,1,0,0,0,"[11689, 11713]"
0,0,0,0,1,0,0,0,"[11710, 11713]",0,0,0,0,1,0,0,0,"[11689, 11713]"
0,0,0,0,0,1,0,0,"[11715, 11719]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[11579, 11597]",0,0,0,1,0,0,0,0,"[11586, 11597]"
0,0,0,0,0,1,0,0,"[11597, 11599]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[11616, 11657]",0,0,0,0,1,0,0,0,"[11614, 11655]"
0,0,0,0,1,0,0,0,"[11616, 11657]",0,0,0,0,0,1,0,0,"[11655, 11715]"
0,0,0,0,0,1,0,0,"[11657, 11715]",0,0,0,0,0,1,0,0,"[11655, 11715]"
0,0,0,1,0,0,0,0,"[11600, 11629]",0,0,0,1,0,0,0,0,"[11586, 11630]"
0,0,0,0,0,1,0,0,"[11629, 11655]",0,0,0,1,0,0,0,0,"[11586, 11630]"
0,0,0,1,0,0,0,0,"[11655, 11702]",0,0,0,0,0,1,0,0,"[11701, 11718]"
0,0,0,0,0,1,0,0,"[11702, 11718]",0,0,0,0,0,1,0,0,"[11701, 11718]"
0,0,0,1,0,0,0,0,"[11857, 11906]",0,0,0,1,0,0,0,0,"[11857, 11905]"
0,0,0,0,0,1,0,0,"[11906, 11909]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[11909, 11956]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[11956, 12004]",0,0,0,0,0,1,0,0,"[11956, 12005]"
0,0,0,1,0,0,0,0,"[12103, 12155]",1,0,0,0,0,0,0,0,"[12153, 12159]"
0,0,0,1,0,0,0,0,"[12103, 12155]",0,0,0,1,0,0,0,0,"[12120, 12154]"
1,0,0,0,0,0,0,0,"[12155, 12157]",1,0,0,0,0,0,0,0,"[12153, 12159]"
0,0,0,1,0,0,0,0,"[12157, 12172]",1,0,0,0,0,0,0,0,"[12153, 12159]"
0,0,0,0,1,0,0,0,"[12172, 12176]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[12188, 12190]",0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,"[12235, 12240]",1,0,0,0,0,0,0,0,"[12233, 12240]"
0,0,0,0,0,1,0,0,"[12244, 12249]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[12350, 12414]",0,0,0,1,0,0,0,0,"[12350, 12414]"
0,0,0,0,0,1,0,0,"[12414, 12418]",0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,"[12427, 12436]",1,0,0,0,0,0,0,0,"[12427, 12434]"
1,0,0,0,0,0,0,0,"[12427, 12436]",0,0,0,1,0,0,0,0,"[12435, 12463]"
0,0,0,1,0,0,0,0,"[12436, 12462]",0,0,0,1,0,0,0,0,"[12435, 12463]"
0,0,0,0,0,1,0,0,"[12462, 12469]",0,0,0,1,0,0,0,0,"[12435, 12463]"
0,1,0,0,0,0,0,0,"[12480, 12505]",0,1,0,0,0,0,0,0,"[12482, 12501]"
0,0,0,1,0,0,0,0,"[12593, 12640]",0,0,0,1,0,0,0,0,"[12598, 12642]"
1,0,0,0,0,0,0,0,"[12640, 12649]",1,0,0,0,0,0,0,0,"[12640, 12650]"
1,0,0,0,0,0,0,0,"[12640, 12649]",0,0,0,1,0,0,0,0,"[12598, 12642]"
0,0,0,0,0,1,0,0,"[12681, 12690]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[12700, 12721]",0,0,0,0,1,0,0,0,"[12701, 12721]"
0,0,0,0,0,1,0,0,"[12721, 12735]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[12852, 12874]",0,0,0,1,0,0,0,0,"[12852, 12876]"
0,1,0,0,0,0,0,0,"[12872, 12931]",0,1,0,0,0,0,0,0,"[12875, 12928]"
0,1,0,0,0,0,0,0,"[12872, 12931]",0,0,0,1,0,0,0,0,"[12852, 12876]"
0,0,0,0,0,1,0,0,"[12936, 12998]",0,0,0,0,0,1,0,0,"[12937, 12995]"
