Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[11573, 11582]",0,0,0,1,0,0,0,0,"[11575, 11582]"
0,0,0,1,0,0,0,0,"[11573, 11582]",0,0,0,0,0,1,0,0,"[11581, 11723]"
0,0,0,0,0,1,0,0,"[11582, 11723]",0,0,0,0,0,1,0,0,"[11581, 11723]"
0,0,0,1,0,0,0,0,"[11853, 11858]",0,0,0,1,0,0,0,0,"[11846, 11858]"
0,0,0,1,0,0,0,0,"[11853, 11858]",0,0,0,0,0,1,0,0,"[11857, 11885]"
0,0,0,0,0,1,0,0,"[11858, 11884]",0,0,0,0,0,1,0,0,"[11857, 11885]"
0,0,0,0,1,0,0,0,"[11884, 11887]",0,0,0,0,0,1,0,0,"[11857, 11885]"
0,0,0,0,1,0,0,0,"[11893, 11896]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[11904, 11914]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[11914, 11943]",1,0,0,0,0,0,0,0,"[11941, 11948]"
0,0,0,1,0,0,0,0,"[11914, 11943]",0,0,0,1,0,0,0,0,"[11915, 11942]"
1,0,0,0,0,0,0,0,"[11943, 11947]",1,0,0,0,0,0,0,0,"[11941, 11948]"
0,0,0,0,0,1,0,0,"[11953, 11965]",0,0,0,0,0,1,0,0,"[11952, 11965]"
0,0,0,0,0,1,0,0,"[11973, 11983]",0,1,0,0,0,0,0,0,"[11972, 11995]"
0,0,0,0,1,0,0,0,"[11983, 11990]",0,1,0,0,0,0,0,0,"[11972, 11995]"
1,0,0,0,0,0,0,0,"[11991, 11996]",0,1,0,0,0,0,0,0,"[11972, 11995]"
0,0,0,1,0,0,0,0,"[12202, 12223]",0,0,1,0,0,0,0,0,"[12220, 12229]"
0,0,0,1,0,0,0,0,"[12202, 12223]",0,0,0,1,0,0,0,0,"[12203, 12223]"
0,0,1,0,0,0,0,0,"[12223, 12227]",0,0,1,0,0,0,0,0,"[12220, 12229]"
0,0,0,1,0,0,0,0,"[12227, 12253]",0,0,1,0,0,0,0,0,"[12220, 12229]"
0,0,0,1,0,0,0,0,"[12227, 12253]",1,0,0,0,0,0,0,0,"[12251, 12259]"
0,0,0,1,0,0,0,0,"[12227, 12253]",0,0,0,1,0,0,0,0,"[12228, 12252]"
1,0,0,0,0,0,0,0,"[12253, 12258]",1,0,0,0,0,0,0,0,"[12251, 12259]"
1,0,0,0,0,0,0,0,"[12278, 12280]",1,0,0,0,0,0,0,0,"[12274, 12282]"
1,0,0,0,0,0,0,0,"[12278, 12280]",0,0,0,1,0,0,0,0,"[12279, 12296]"
0,0,0,1,0,0,0,0,"[12280, 12297]",1,0,0,0,0,0,0,0,"[12274, 12282]"
0,0,0,1,0,0,0,0,"[12280, 12297]",0,0,0,1,0,0,0,0,"[12279, 12296]"
0,0,0,1,0,0,0,0,"[12280, 12297]",0,0,0,0,0,1,0,0,"[12296, 12352]"
0,0,0,0,0,1,0,0,"[12297, 12351]",0,0,0,0,0,1,0,0,"[12296, 12352]"
0,0,0,1,0,0,0,0,"[12520, 12526]",0,0,0,1,0,0,0,0,"[12516, 12526]"
1,0,0,0,0,0,0,0,"[12526, 12529]",1,0,0,0,0,0,0,0,"[12526, 12532]"
1,0,0,0,0,0,0,0,"[12534, 12538]",1,0,0,0,0,0,0,0,"[12533, 12539]"
0,0,0,0,0,1,0,0,"[12542, 12545]",0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,"[12555, 12560]",1,0,0,0,0,0,0,0,"[12554, 12560]"
0,0,0,0,0,1,0,0,"[12564, 12566]",0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,"[12567, 12569]",1,0,0,0,0,0,0,0,"[12567, 12573]"
0,0,0,0,0,1,0,0,"[12574, 12622]",0,0,0,0,0,1,0,0,"[12573, 12624]"
0,0,0,0,1,0,0,0,"[12630, 12637]",0,0,0,0,1,0,0,0,"[12629, 12638]"
0,0,0,0,0,1,0,0,"[12640, 12668]",0,0,0,0,0,1,0,0,"[12640, 12669]"
0,0,0,1,0,0,0,0,"[12819, 12830]",0,0,0,1,0,0,0,0,"[12819, 12830]"
0,0,0,1,0,0,0,0,"[12819, 12830]",0,0,0,0,0,1,0,0,"[12829, 12965]"
0,0,0,0,0,1,0,0,"[12830, 12891]",0,0,0,0,0,1,0,0,"[12829, 12965]"
0,0,0,0,1,0,0,0,"[12894, 12897]",0,0,0,0,0,1,0,0,"[12829, 12965]"
0,0,0,0,0,1,0,0,"[12896, 12964]",0,0,0,0,0,1,0,0,"[12829, 12965]"
0,0,0,1,0,0,0,0,"[13103, 13131]",0,0,0,1,0,0,0,0,"[13103, 13130]"
0,0,0,1,0,0,0,0,"[13103, 13131]",0,0,0,0,0,1,0,0,"[13130, 13253]"
0,0,0,0,0,1,0,0,"[13131, 13142]",0,0,0,0,0,1,0,0,"[13130, 13253]"
0,0,0,0,0,1,0,0,"[13160, 13220]",0,0,0,0,0,1,0,0,"[13130, 13253]"
0,0,0,0,0,1,0,0,"[13226, 13252]",0,0,0,0,0,1,0,0,"[13130, 13253]"
