Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[10520, 10532]",0,0,0,1,0,0,0,0,"[10521, 10532]"
0,0,0,0,0,1,0,0,"[10532, 10592]",0,0,0,1,0,0,0,0,"[10591, 10599]"
0,0,0,0,0,1,0,0,"[10532, 10592]",0,0,0,0,0,1,0,0,"[10532, 10592]"
0,0,0,0,1,0,0,0,"[10599, 10601]",0,0,0,0,1,0,0,0,"[10597, 10601]"
0,0,0,0,0,1,0,0,"[10601, 10653]",0,0,0,0,0,1,0,0,"[10601, 10654]"
0,0,0,0,1,0,0,0,"[10654, 10657]",0,0,0,0,1,0,0,0,"[10654, 10657]"
0,0,0,0,0,1,0,0,"[10658, 10671]",0,0,0,0,0,1,0,0,"[10657, 10671]"
0,0,0,1,0,0,0,0,"[10839, 10870]",0,1,0,0,0,0,0,0,"[10869, 10894]"
0,0,0,1,0,0,0,0,"[10839, 10870]",0,0,0,1,0,0,0,0,"[10842, 10870]"
0,1,0,0,0,0,0,0,"[10870, 10894]",0,1,0,0,0,0,0,0,"[10869, 10894]"
0,0,0,0,0,1,0,0,"[10895, 10901]",0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,"[10905, 10922]",0,1,0,0,0,0,0,0,"[10905, 10916]"
0,1,0,0,0,0,0,0,"[10905, 10922]",1,0,0,0,0,0,0,0,"[10915, 10921]"
0,0,0,0,0,1,0,0,"[10922, 10989]",0,0,0,0,0,1,0,0,"[10922, 10990]"
0,0,0,1,0,0,0,0,"[11132, 11146]",0,1,0,0,0,0,0,0,"[11145, 11158]"
0,0,0,1,0,0,0,0,"[11132, 11146]",0,0,0,1,0,0,0,0,"[11128, 11145]"
0,1,0,0,0,0,0,0,"[11146, 11163]",0,1,0,0,0,0,0,0,"[11145, 11158]"
0,1,0,0,0,0,0,0,"[11146, 11163]",1,0,0,0,0,0,0,0,"[11158, 11163]"
0,0,0,0,0,1,0,0,"[11163, 11171]",0,0,0,1,0,0,0,0,"[11170, 11180]"
0,0,0,0,0,1,0,0,"[11179, 11183]",0,0,0,1,0,0,0,0,"[11170, 11180]"
0,0,0,1,0,0,0,0,"[11171, 11179]",0,0,0,1,0,0,0,0,"[11170, 11180]"
0,0,0,1,0,0,0,0,"[11184, 11230]",0,0,0,1,0,0,0,0,"[11183, 11229]"
0,0,0,0,0,1,0,0,"[11230, 11241]",1,0,0,0,0,0,0,0,"[11240, 11246]"
1,0,0,0,0,0,0,0,"[11241, 11246]",1,0,0,0,0,0,0,0,"[11240, 11246]"
0,0,0,0,0,1,0,0,"[11246, 11268]",0,0,0,0,0,1,0,0,"[11246, 11282]"
0,0,0,0,0,1,0,0,"[11272, 11282]",0,0,0,0,0,1,0,0,"[11246, 11282]"
0,0,0,1,0,0,0,0,"[11419, 11438]",0,1,0,0,0,0,0,0,"[11437, 11446]"
0,0,0,1,0,0,0,0,"[11419, 11438]",0,0,0,1,0,0,0,0,"[11419, 11437]"
0,1,0,0,0,0,0,0,"[11438, 11447]",0,1,0,0,0,0,0,0,"[11437, 11446]"
0,0,0,1,0,0,0,0,"[11447, 11458]",0,1,0,0,0,0,0,0,"[11456, 11469]"
0,0,0,1,0,0,0,0,"[11447, 11458]",0,0,0,1,0,0,0,0,"[11447, 11458]"
