Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[7818, 7829]",0,0,0,1,0,0,0,0,"[7820, 7829]"
0,0,0,0,0,1,0,0,"[7829, 7837]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[7847, 7857]",0,0,0,1,0,0,0,0,"[7856, 7864]"
0,0,0,0,1,0,0,0,"[7847, 7857]",0,0,0,0,1,0,0,0,"[7846, 7857]"
0,0,0,1,0,0,0,0,"[7857, 7865]",0,0,0,1,0,0,0,0,"[7856, 7864]"
0,0,0,0,0,1,0,0,"[7865, 7904]",0,0,0,0,0,1,0,0,"[7865, 7903]"
0,0,0,0,1,0,0,0,"[7904, 7906]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[7906, 7922]",0,0,0,1,0,0,0,0,"[7906, 7922]"
0,0,0,0,1,0,0,0,"[7922, 7924]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[7924, 7971]",0,0,0,0,0,1,0,0,"[7925, 7970]"
0,0,0,1,0,0,0,0,"[8038, 8049]",0,0,0,1,0,0,0,0,"[8039, 8049]"
0,0,0,0,0,1,0,0,"[8049, 8054]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[8054, 8062]",0,0,0,0,1,0,0,0,"[8056, 8077]"
0,0,0,0,1,0,0,0,"[8067, 8075]",0,0,0,0,1,0,0,0,"[8056, 8077]"
0,0,0,1,0,0,0,0,"[8075, 8085]",0,1,0,0,0,0,0,0,"[8083, 8099]"
0,0,0,1,0,0,0,0,"[8075, 8085]",0,0,0,1,0,0,0,0,"[8075, 8085]"
0,0,0,1,0,0,0,0,"[8075, 8085]",0,0,0,0,1,0,0,0,"[8056, 8077]"
0,1,0,0,0,0,0,0,"[8085, 8099]",0,1,0,0,0,0,0,0,"[8083, 8099]"
