Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[13000, 13069]",0,0,0,1,0,0,0,0,"[12988, 13070]"
0,0,0,0,0,1,0,0,"[13069, 13091]",0,0,0,1,0,0,0,0,"[12988, 13070]"
0,0,0,1,0,0,0,0,"[13091, 13121]",0,0,0,1,0,0,0,0,"[13091, 13120]"
0,0,0,0,0,1,0,0,"[13121, 13124]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[13124, 13138]",0,0,0,1,0,0,0,0,"[13125, 13147]"
0,0,0,1,0,0,0,0,"[13232, 13286]",0,0,1,0,0,0,0,0,"[13283, 13290]"
0,0,0,1,0,0,0,0,"[13232, 13286]",0,0,0,1,0,0,0,0,"[13233, 13285]"
0,0,1,0,0,0,0,0,"[13286, 13290]",0,0,1,0,0,0,0,0,"[13283, 13290]"
0,0,1,0,0,0,0,0,"[13316, 13321]",0,0,1,0,0,0,0,0,"[13314, 13321]"
0,0,1,0,0,0,0,0,"[13316, 13321]",0,0,0,1,0,0,0,0,"[13319, 13337]"
0,0,0,1,0,0,0,0,"[13321, 13337]",0,0,1,0,0,0,0,0,"[13335, 13342]"
0,0,0,1,0,0,0,0,"[13321, 13337]",0,0,0,1,0,0,0,0,"[13319, 13337]"
0,0,1,0,0,0,0,0,"[13337, 13341]",0,0,1,0,0,0,0,0,"[13335, 13342]"
0,0,0,1,0,0,0,0,"[13341, 13379]",0,0,1,0,0,0,0,0,"[13335, 13342]"
0,0,0,1,0,0,0,0,"[13341, 13379]",0,0,0,1,0,0,0,0,"[13342, 13380]"
0,0,0,0,0,1,0,0,"[13379, 13383]",0,0,0,1,0,0,0,0,"[13342, 13380]"
0,0,0,0,0,0,1,0,"[13470, 13473]",0,0,0,0,0,0,1,0,"[13468, 13474]"
1,0,0,0,0,0,0,0,"[13480, 13485]",0,1,0,0,0,0,0,0,"[13479, 13486]"
1,0,0,0,0,0,0,0,"[13497, 13501]",1,0,0,0,0,0,0,0,"[13496, 13503]"
0,0,0,0,0,1,0,0,"[13507, 13518]",0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,"[13533, 13535]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[13701, 13720]",0,0,0,1,0,0,0,0,"[13698, 13721]"
0,1,0,0,0,0,0,0,"[13720, 13734]",0,1,0,0,0,0,0,0,"[13720, 13733]"
0,1,0,0,0,0,0,0,"[13720, 13734]",0,0,0,1,0,0,0,0,"[13698, 13721]"
0,1,0,0,0,0,0,0,"[13746, 13758]",0,1,0,0,0,0,0,0,"[13744, 13757]"
0,0,1,0,0,0,0,0,"[13763, 13768]",0,0,1,0,0,0,0,0,"[13761, 13769]"
0,0,0,0,0,1,0,0,"[13776, 13780]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[13780, 13796]",0,0,0,1,0,0,0,0,"[13780, 13796]"
0,0,0,0,0,1,0,0,"[13796, 13801]",0,0,0,1,0,0,0,0,"[13800, 13823]"
0,0,0,1,0,0,0,0,"[13801, 13822]",0,0,0,1,0,0,0,0,"[13800, 13823]"
0,0,0,0,0,1,0,0,"[13822, 13847]",0,0,0,1,0,0,0,0,"[13800, 13823]"
0,0,0,1,0,0,0,0,"[13953, 13978]",0,0,0,1,0,0,0,0,"[13952, 13978]"
0,0,0,0,1,0,0,0,"[13978, 13993]",0,0,0,0,1,0,0,0,"[13978, 13990]"
0,0,0,0,1,0,0,0,"[14000, 14005]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[14005, 14102]",0,0,0,1,0,0,0,0,"[14005, 14103]"
0,0,0,1,0,0,0,0,"[14160, 14185]",0,0,1,0,0,0,0,0,"[14184, 14192]"
0,0,0,1,0,0,0,0,"[14160, 14185]",0,0,0,1,0,0,0,0,"[14158, 14185]"
0,0,1,0,0,0,0,0,"[14185, 14192]",0,0,1,0,0,0,0,0,"[14184, 14192]"
0,0,0,0,1,0,0,0,"[14202, 14236]",0,0,0,1,0,0,0,0,"[14234, 14252]"
0,0,0,0,1,0,0,0,"[14202, 14236]",0,0,0,0,1,0,0,0,"[14213, 14235]"
0,0,0,0,1,0,0,0,"[14252, 14309]",0,0,0,0,1,0,0,0,"[14250, 14306]"
0,0,0,1,0,0,0,0,"[12985, 13020]",0,0,0,1,0,0,0,0,"[12991, 13023]"
0,0,0,0,0,1,0,0,"[13020, 13041]",0,0,0,1,0,0,0,0,"[12991, 13023]"
0,0,0,0,0,1,0,0,"[13020, 13041]",0,0,0,0,0,1,0,0,"[13020, 13136]"
0,0,0,0,0,1,0,0,"[13052, 13138]",0,0,0,0,0,1,0,0,"[13020, 13136]"
0,0,0,1,0,0,0,0,"[13232, 13246]",0,0,0,1,0,0,0,0,"[13232, 13247]"
0,0,0,0,0,1,0,0,"[13246, 13264]",0,0,0,1,0,0,0,0,"[13232, 13247]"
1,0,0,0,0,0,0,0,"[13300, 13309]",1,0,0,0,0,0,0,0,"[13301, 13308]"
0,0,0,0,0,1,0,0,"[13314, 13342]",0,0,0,0,0,1,0,0,"[13315, 13340]"
0,0,0,1,0,0,0,0,"[13462, 13529]",0,0,0,1,0,0,0,0,"[13463, 13529]"
1,0,0,0,0,0,0,0,"[13584, 13593]",1,0,0,0,0,0,0,0,"[13585, 13590]"
0,1,0,0,0,0,0,0,"[13528, 13593]",1,0,0,0,0,0,0,0,"[13585, 13590]"
0,1,0,0,0,0,0,0,"[13528, 13593]",0,0,0,1,0,0,0,0,"[13463, 13529]"
0,0,0,1,0,0,0,0,"[13701, 13716]",0,0,0,1,0,0,0,0,"[13700, 13717]"
0,1,0,0,0,0,0,0,"[13716, 13753]",0,1,0,0,0,0,0,0,"[13717, 13752]"
0,1,0,0,0,0,0,0,"[13716, 13753]",0,0,0,1,0,0,0,0,"[13700, 13717]"
0,0,0,0,0,1,0,0,"[13762, 13784]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[13831, 13837]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[13950, 13969]",0,0,0,1,0,0,0,0,"[13950, 13971]"
0,0,0,0,0,1,0,0,"[13969, 14032]",0,0,0,1,0,0,0,0,"[13950, 13971]"
0,0,0,0,0,1,0,0,"[13969, 14032]",0,0,0,0,0,1,0,0,"[13969, 14098]"
0,0,0,0,0,1,0,0,"[14093, 14100]",0,0,0,0,0,1,0,0,"[13969, 14098]"
