Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,0,0,1,0,0,"[9043, 9071]",0,0,0,0,0,1,0,0,"[8978, 9070]"
0,0,0,1,0,0,0,0,"[9131, 9160]",0,0,0,1,0,0,0,0,"[9125, 9160]"
0,1,0,0,0,0,0,0,"[9160, 9177]",0,1,0,0,0,0,0,0,"[9160, 9177]"
0,0,0,0,0,1,0,0,"[9177, 9201]",0,0,0,0,0,1,0,0,"[9178, 9200]"
0,0,0,0,0,1,0,0,"[9207, 9276]",0,0,0,0,0,1,0,0,"[9206, 9280]"
0,0,0,1,0,0,0,0,"[7819, 7831]",0,0,0,1,0,0,0,0,"[7819, 7832]"
0,0,0,0,0,1,0,0,"[7831, 7859]",0,0,0,1,0,0,0,0,"[7819, 7832]"
0,0,0,0,0,1,0,0,"[7831, 7859]",0,0,0,1,0,0,0,0,"[7858, 7872]"
0,0,0,0,0,1,0,0,"[7831, 7859]",0,0,0,0,0,1,0,0,"[7831, 7859]"
0,0,0,1,0,0,0,0,"[7859, 7871]",0,0,0,1,0,0,0,0,"[7858, 7872]"
0,0,0,0,0,1,0,0,"[7871, 7889]",0,0,0,1,0,0,0,0,"[7858, 7872]"
0,0,0,0,0,1,0,0,"[7871, 7889]",0,0,0,1,0,0,0,0,"[7888, 7901]"
0,0,0,0,0,1,0,0,"[7871, 7889]",0,0,0,0,0,1,0,0,"[7871, 7891]"
0,0,0,1,0,0,0,0,"[7889, 7900]",0,0,0,1,0,0,0,0,"[7888, 7901]"
0,0,0,1,0,0,0,0,"[7889, 7900]",0,0,0,0,0,1,0,0,"[7871, 7891]"
0,0,0,0,0,1,0,0,"[7900, 7968]",0,0,0,1,0,0,0,0,"[7888, 7901]"
0,0,0,0,0,1,0,0,"[7900, 7968]",0,0,0,0,0,1,0,0,"[7900, 7968]"
