Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[11803, 11822]",0,0,0,1,0,0,0,0,"[11803, 11822]"
0,0,0,0,0,1,0,0,"[11822, 11878]",0,0,0,0,0,1,0,0,"[11822, 11954]"
0,0,0,0,0,1,0,0,"[11879, 11939]",0,0,0,0,0,1,0,0,"[11822, 11954]"
0,0,0,0,0,1,0,0,"[11940, 11954]",0,0,0,0,0,1,0,0,"[11822, 11954]"
0,0,0,1,0,0,0,0,"[12015, 12029]",1,0,0,0,0,0,0,0,"[12028, 12034]"
0,0,0,1,0,0,0,0,"[12015, 12029]",0,0,0,1,0,0,0,0,"[12017, 12030]"
1,0,0,0,0,0,0,0,"[12029, 12035]",1,0,0,0,0,0,0,0,"[12028, 12034]"
1,0,0,0,0,0,0,0,"[12029, 12035]",0,0,0,1,0,0,0,0,"[12017, 12030]"
1,0,0,0,0,0,0,0,"[12036, 12042]",1,0,0,0,0,0,0,0,"[12036, 12042]"
0,1,0,0,0,0,0,0,"[12045, 12061]",0,1,0,0,0,0,0,0,"[12049, 12060]"
0,0,0,0,0,1,0,0,"[12064, 12142]",0,0,0,1,0,0,0,0,"[12141, 12150]"
0,0,0,0,0,1,0,0,"[12064, 12142]",0,0,0,0,0,1,0,0,"[12063, 12142]"
0,0,0,1,0,0,0,0,"[12142, 12150]",0,0,0,1,0,0,0,0,"[12141, 12150]"
0,0,0,1,0,0,0,0,"[12142, 12150]",0,0,0,0,0,1,0,0,"[12149, 12166]"
0,0,0,0,0,1,0,0,"[12149, 12166]",0,0,0,1,0,0,0,0,"[12141, 12150]"
0,0,0,0,0,1,0,0,"[12149, 12166]",0,0,0,0,0,1,0,0,"[12149, 12166]"
0,0,0,1,0,0,0,0,"[12214, 12227]",0,0,0,1,0,0,0,0,"[12214, 12228]"
0,0,0,0,0,1,0,0,"[12227, 12229]",0,0,0,1,0,0,0,0,"[12214, 12228]"
0,1,0,0,0,0,0,0,"[12234, 12241]",0,1,0,0,0,0,0,0,"[12232, 12241]"
0,0,0,0,0,1,0,0,"[12246, 12253]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[12253, 12271]",0,1,0,0,0,0,0,0,"[12269, 12287]"
0,0,0,1,0,0,0,0,"[12253, 12271]",0,0,0,1,0,0,0,0,"[12253, 12270]"
0,0,0,1,0,0,0,0,"[12253, 12271]",0,0,0,0,1,0,0,0,"[12270, 12279]"
0,1,0,0,0,0,0,0,"[12271, 12286]",0,1,0,0,0,0,0,0,"[12269, 12287]"
0,1,0,0,0,0,0,0,"[12271, 12286]",0,0,0,0,1,0,0,0,"[12270, 12279]"
1,0,0,0,0,0,0,0,"[12292, 12297]",1,0,0,0,0,0,0,0,"[12291, 12298]"
0,0,0,0,0,1,0,0,"[12303, 12319]",0,0,0,0,0,1,0,0,"[12304, 12319]"
0,0,0,0,1,0,0,0,"[12325, 12332]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[12332, 12364]",0,0,0,0,0,1,0,0,"[12332, 12363]"
0,0,0,1,0,0,0,0,"[12420, 12436]",1,0,0,0,0,0,0,0,"[12435, 12441]"
0,0,0,1,0,0,0,0,"[12420, 12436]",0,0,0,1,0,0,0,0,"[12420, 12436]"
1,0,0,0,0,0,0,0,"[12436, 12442]",1,0,0,0,0,0,0,0,"[12435, 12441]"
1,0,0,0,0,0,0,0,"[12436, 12442]",0,0,0,1,0,0,0,0,"[12441, 12457]"
0,0,0,1,0,0,0,0,"[12442, 12458]",1,0,0,0,0,0,0,0,"[12457, 12464]"
0,0,0,1,0,0,0,0,"[12442, 12458]",0,0,0,1,0,0,0,0,"[12441, 12457]"
1,0,0,0,0,0,0,0,"[12458, 12463]",1,0,0,0,0,0,0,0,"[12457, 12464]"
1,0,0,0,0,0,0,0,"[12458, 12463]",0,0,0,1,0,0,0,0,"[12462, 12490]"
0,0,0,1,0,0,0,0,"[12463, 12490]",1,0,0,0,0,0,0,0,"[12457, 12464]"
0,0,0,1,0,0,0,0,"[12463, 12490]",0,1,0,0,0,0,0,0,"[12489, 12500]"
0,0,0,1,0,0,0,0,"[12463, 12490]",0,0,0,1,0,0,0,0,"[12462, 12490]"
0,1,0,0,0,0,0,0,"[12490, 12500]",0,1,0,0,0,0,0,0,"[12489, 12500]"
0,1,0,0,0,0,0,0,"[12490, 12500]",0,0,0,0,1,0,0,0,"[12490, 12495]"
0,0,0,0,0,1,0,0,"[12501, 12512]",0,0,0,0,0,1,0,0,"[12502, 12512]"
0,0,0,1,0,0,0,0,"[12513, 12521]",0,0,0,1,0,0,0,0,"[12512, 12521]"
0,0,0,0,0,1,0,0,"[12521, 12570]",0,0,0,0,0,1,0,0,"[12521, 12570]"
0,0,0,1,0,0,0,0,"[12615, 12648]",0,0,0,1,0,0,0,0,"[12615, 12648]"
0,0,0,0,1,0,0,0,"[12648, 12657]",0,0,0,0,1,0,0,0,"[12648, 12658]"
0,0,0,1,0,0,0,0,"[12657, 12669]",0,0,0,0,1,0,0,0,"[12648, 12658]"
0,0,0,0,0,1,0,0,"[12669, 12709]",0,0,0,0,0,1,0,0,"[12669, 12765]"
0,0,0,0,0,1,0,0,"[12714, 12729]",0,0,0,0,0,1,0,0,"[12669, 12765]"
0,0,0,0,0,1,0,0,"[12731, 12764]",0,0,0,0,0,1,0,0,"[12669, 12765]"
0,0,0,1,0,0,0,0,"[12837, 12852]",0,0,0,1,0,0,0,0,"[12837, 12852]"
0,0,0,0,0,1,0,0,"[12852, 12855]",0,0,0,1,0,0,0,0,"[12854, 12873]"
0,0,0,1,0,0,0,0,"[12855, 12872]",0,0,0,1,0,0,0,0,"[12854, 12873]"
0,0,0,0,1,0,0,0,"[12872, 12880]",0,0,0,1,0,0,0,0,"[12854, 12873]"
0,0,0,0,1,0,0,0,"[12872, 12880]",0,0,0,0,1,0,0,0,"[12873, 12881]"
0,0,0,0,0,1,0,0,"[12897, 12952]",0,0,0,0,0,1,0,0,"[12897, 12988]"
0,0,0,0,0,1,0,0,"[12954, 12988]",0,0,0,0,0,1,0,0,"[12897, 12988]"
0,0,0,1,0,0,0,0,"[11805, 11814]",0,0,0,1,0,0,0,0,"[11803, 11813]"
0,0,0,1,0,0,0,0,"[11805, 11814]",0,0,0,0,0,1,0,0,"[11812, 11843]"
0,0,0,0,0,1,0,0,"[11814, 11843]",0,0,0,0,0,1,0,0,"[11812, 11843]"
0,0,0,1,0,0,0,0,"[11848, 11876]",0,0,0,1,0,0,0,0,"[11843, 11875]"
0,0,0,1,0,0,0,0,"[11848, 11876]",0,0,0,0,0,1,0,0,"[11875, 11955]"
0,0,0,0,0,1,0,0,"[11875, 11933]",0,0,0,0,0,1,0,0,"[11875, 11955]"
0,0,0,0,0,1,0,0,"[11938, 11954]",0,0,0,0,0,1,0,0,"[11875, 11955]"
0,0,0,1,0,0,0,0,"[12015, 12026]",0,1,0,0,0,0,0,0,"[12024, 12036]"
0,0,0,1,0,0,0,0,"[12015, 12026]",0,0,0,1,0,0,0,0,"[12016, 12026]"
0,1,0,0,0,0,0,0,"[12026, 12035]",0,1,0,0,0,0,0,0,"[12024, 12036]"
0,1,0,0,0,0,0,0,"[12026, 12035]",0,0,0,1,0,0,0,0,"[12034, 12050]"
0,0,0,1,0,0,0,0,"[12035, 12050]",0,1,0,0,0,0,0,0,"[12024, 12036]"
0,0,0,1,0,0,0,0,"[12035, 12050]",0,0,1,0,0,0,0,0,"[12048, 12056]"
0,0,0,1,0,0,0,0,"[12035, 12050]",0,0,0,1,0,0,0,0,"[12034, 12050]"
0,0,1,0,0,0,0,0,"[12049, 12054]",0,0,1,0,0,0,0,0,"[12048, 12056]"
0,0,1,0,0,0,0,0,"[12049, 12054]",0,0,0,1,0,0,0,0,"[12034, 12050]"
0,0,0,1,0,0,0,0,"[12054, 12063]",0,0,1,0,0,0,0,0,"[12048, 12056]"
0,0,0,1,0,0,0,0,"[12054, 12063]",0,1,0,0,0,0,0,0,"[12062, 12083]"
0,0,0,0,1,0,0,0,"[12063, 12067]",0,1,0,0,0,0,0,0,"[12062, 12083]"
0,0,0,0,0,1,0,0,"[12070, 12072]",0,1,0,0,0,0,0,0,"[12062, 12083]"
1,0,0,0,0,0,0,0,"[12077, 12081]",0,1,0,0,0,0,0,0,"[12062, 12083]"
0,0,0,0,0,1,0,0,"[12086, 12127]",0,0,0,0,0,1,0,0,"[12085, 12165]"
0,0,0,0,0,1,0,0,"[12133, 12164]",0,0,0,0,0,1,0,0,"[12085, 12165]"
0,0,0,1,0,0,0,0,"[12214, 12224]",0,0,0,1,0,0,0,0,"[12214, 12224]"
0,0,0,0,0,1,0,0,"[12224, 12231]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[12231, 12240]",0,1,0,0,0,0,0,0,"[12239, 12260]"
0,0,0,1,0,0,0,0,"[12231, 12240]",0,0,0,1,0,0,0,0,"[12232, 12240]"
0,0,0,0,0,1,0,0,"[12240, 12251]",0,1,0,0,0,0,0,0,"[12239, 12260]"
1,0,0,0,0,0,0,0,"[12253, 12258]",0,1,0,0,0,0,0,0,"[12239, 12260]"
1,0,0,0,0,0,0,0,"[12267, 12272]",1,0,0,0,0,0,0,0,"[12266, 12274]"
0,0,0,0,0,1,0,0,"[12274, 12282]",0,0,0,0,0,1,0,0,"[12273, 12283]"
0,0,0,1,0,0,0,0,"[12282, 12328]",1,0,0,0,0,0,0,0,"[12326, 12334]"
0,0,0,1,0,0,0,0,"[12282, 12328]",0,0,0,1,0,0,0,0,"[12282, 12328]"
0,0,0,1,0,0,0,0,"[12282, 12328]",0,0,0,0,0,1,0,0,"[12273, 12283]"
