Jimmy Explosive Quick Mine,Jimmy Explosive Inner,Jimmy Explosive Tunneling,Jimmy Exploring,Jimmy Tunneling Pickaxe,Jimmy Pickaxing for Gold,Jimmy Explosive Miss,Jimmy No label,Jimmy TimeStamp,Erica Explosive Quick Mine,Erica Explosive Inner,Erica Explosive Tunneling,Erica Exploring,Erica Tunneling Pickaxe,Erica Pickaxing for Gold,Erica Explosive Miss,Erica No label,Erica TimeStamp
0,0,0,1,0,0,0,0,"[26104, 26147]",0,0,0,1,0,0,0,0,"[26119, 26146]"
0,0,0,0,0,1,0,0,"[26147, 26211]",0,0,0,0,0,1,0,0,"[26147, 26257]"
0,0,0,0,1,0,0,0,"[26218, 26227]",0,0,0,0,0,1,0,0,"[26147, 26257]"
0,0,0,0,0,1,0,0,"[26229, 26257]",0,0,0,0,0,1,0,0,"[26147, 26257]"
0,0,0,1,0,0,0,0,"[26360, 26374]",0,0,0,1,0,0,0,0,"[26360, 26375]"
0,0,0,0,1,0,0,0,"[26374, 26378]",0,0,0,1,0,0,0,0,"[26360, 26375]"
0,0,0,0,0,1,0,0,"[26442, 26505]",0,0,0,0,0,1,0,0,"[26443, 26503]"
0,0,0,1,0,0,0,0,"[26881, 26899]",0,0,0,1,0,0,0,0,"[26882, 26899]"
0,0,0,0,1,0,0,0,"[26899, 26903]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[26908, 27004]",0,0,0,0,0,1,0,0,"[26909, 27000]"
0,0,0,1,0,0,0,0,"[27105, 27122]",0,0,0,1,0,0,0,0,"[27105, 27122]"
0,0,0,0,0,1,0,0,"[27122, 27127]",0,0,0,0,0,1,0,0,"[27122, 27250]"
0,0,0,0,1,0,0,0,"[27131, 27136]",0,0,0,0,0,1,0,0,"[27122, 27250]"
0,0,0,0,0,1,0,0,"[27137, 27172]",0,0,0,0,0,1,0,0,"[27122, 27250]"
0,0,0,0,0,1,0,0,"[27178, 27251]",0,0,0,0,0,1,0,0,"[27122, 27250]"
0,0,0,0,1,0,0,0,"[27251, 27256]",0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,"[27322, 27359]",0,0,0,1,0,0,0,0,"[27323, 27360]"
0,0,0,0,1,0,0,0,"[27359, 27364]",0,0,0,1,0,0,0,0,"[27323, 27360]"
0,0,0,0,1,0,0,0,"[27359, 27364]",0,0,0,0,1,0,0,0,"[27359, 27368]"
0,0,0,0,0,1,0,0,"[27364, 27471]",0,0,0,0,1,0,0,0,"[27359, 27368]"
0,0,0,0,0,1,0,0,"[27364, 27471]",0,0,0,0,0,1,0,0,"[27365, 27469]"
0,0,0,1,0,0,0,0,"[26104, 26127]",0,0,0,1,0,0,0,0,"[26106, 26128]"
0,0,0,0,0,1,0,0,"[26127, 26172]",0,0,0,1,0,0,0,0,"[26106, 26128]"
0,0,0,0,0,1,0,0,"[26127, 26172]",0,0,0,0,0,1,0,0,"[26127, 26202]"
0,0,0,0,0,1,0,0,"[26178, 26204]",0,0,0,1,0,0,0,0,"[26202, 26228]"
0,0,0,0,0,1,0,0,"[26178, 26204]",0,0,0,0,0,1,0,0,"[26127, 26202]"
0,0,0,1,0,0,0,0,"[26204, 26227]",0,0,0,1,0,0,0,0,"[26202, 26228]"
0,0,0,0,0,1,0,0,"[26227, 26256]",0,0,0,1,0,0,0,0,"[26202, 26228]"
0,0,0,0,0,1,0,0,"[26227, 26256]",0,0,0,0,0,1,0,0,"[26228, 26255]"
0,0,0,1,0,0,0,0,"[26360, 26402]",0,0,0,1,0,0,0,0,"[26361, 26403]"
1,0,0,0,0,0,0,0,"[26402, 26408]",0,0,1,0,0,0,0,0,"[26402, 26408]"
1,0,0,0,0,0,0,0,"[26402, 26408]",0,0,0,1,0,0,0,0,"[26361, 26403]"
1,0,0,0,0,0,0,0,"[26419, 26425]",0,0,1,0,0,0,0,0,"[26418, 26424]"
0,0,0,0,1,0,0,0,"[26428, 26433]",0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,"[26435, 26506]",0,0,0,0,0,1,0,0,"[26437, 26504]"
0,0,0,1,0,0,0,0,"[26646, 26656]",0,0,0,1,0,0,0,0,"[26644, 26658]"
0,0,0,0,0,1,0,0,"[26655, 26793]",0,0,0,1,0,0,0,0,"[26644, 26658]"
0,0,0,0,0,1,0,0,"[26655, 26793]",0,0,0,0,0,1,0,0,"[26657, 26791]"
0,0,1,0,0,0,0,0,"[26655, 26666]",0,0,1,0,0,0,0,0,"[26658, 26664]"
0,0,0,0,0,1,0,0,"[26667, 26797]",0,0,0,0,0,1,0,0,"[26669, 26795]"
0,0,0,1,0,0,0,0,"[26881, 26900]",0,0,0,1,0,0,0,0,"[26875, 26900]"
1,0,0,0,0,0,0,0,"[26900, 26905]",1,0,0,0,0,0,0,0,"[26901, 26906]"
0,0,1,0,0,0,0,0,"[26922, 26930]",0,0,1,0,0,0,0,0,"[26922, 26928]"
0,0,1,0,0,0,0,0,"[26935, 26944]",0,0,1,0,0,0,0,0,"[26937, 26943]"
0,0,0,0,0,1,0,0,"[26944, 27027]",0,0,0,0,0,1,0,0,"[26947, 27026]"
0,0,0,1,0,0,0,0,"[27105, 27116]",0,0,0,1,0,0,0,0,"[27102, 27117]"
0,0,0,1,0,0,0,0,"[27105, 27116]",0,0,0,0,0,1,0,0,"[27115, 27139]"
0,0,0,0,0,1,0,0,"[27116, 27140]",0,0,0,1,0,0,0,0,"[27102, 27117]"
0,0,0,0,0,1,0,0,"[27116, 27140]",0,0,0,1,0,0,0,0,"[27139, 27157]"
0,0,0,0,0,1,0,0,"[27116, 27140]",0,0,0,0,0,1,0,0,"[27115, 27139]"
0,0,1,0,0,0,0,0,"[27154, 27161]",0,0,1,0,0,0,0,0,"[27155, 27162]"
0,0,1,0,0,0,0,0,"[27154, 27161]",0,0,0,1,0,0,0,0,"[27139, 27157]"
0,0,1,0,0,0,0,0,"[27173, 27181]",0,0,1,0,0,0,0,0,"[27172, 27179]"
0,0,1,0,0,0,0,0,"[27173, 27181]",0,0,0,1,0,0,0,0,"[27178, 27201]"
