,Jimmy SR-F,Jimmy SR-S,Jimmy SR-P,Jimmy No Label
Erica SR-F,1,0,0,2
Erica SR-S,0,0,0,0
Erica SR-P,0,0,0,1
Erica No Label,5,0,0,0
